Time (Sec);S1;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S23;S27;S28;S3;S4;S5;S6;S7;S8;S9;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.10666666666666665;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.20666666666666672;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.3066666666666668;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.4066666666666669;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.5066666666666669;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.606666666666667;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.7066666666666671;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.8066666666666672;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.9066666666666673;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
1.0066666666666673;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9963392;19160.0;19160.0;19159.9963392;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
1.106666666666667;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.206666666666667;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.306666666666667;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.4066666666666672;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.5066666666666673;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.6066666666666674;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.7066666666666674;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.8066666666666675;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
1.9066666666666676;19160.0;19159.9999;19159.985931999996;19159.996467999998;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.989363999997;19159.989135199998;19159.9999;19159.9999;19159.986176799997;19159.990066399998;19159.996696799997;19159.9898376;19159.9999;19159.996696799997;19159.9999;
